id,sentence,security,reliability,NFR_boolean
comments.json_1,Handles retrieving the log of record accesses for a given user  Used by view Access Log .jsp,0,0,0
comments.json_2,Set up,0,0,0
comments.json_3,Returns a list of  Transaction Beans between the two dates passed as params,0,0,0
comments.json_4,user has either 0 or 1 DLHCP 's . Get one if exists so it can be filtered from results,0,0,0
comments.json_5,Returns an indicator of the number of days between the current date and the date passed as a parameter. Returns 0 if the dates are on the same day  1 if the date passed in is "yesterday"  2 otherwise.,0,0,0
comments.json_6,Pulls  Action  Phrase from the associated  Transaction Type  Enum Forms an English sentence with actor  action  and timestamp.,0,0,0
comments.json_8,Loads the given file input stream into the drug database .,0,0,0
comments.json_9,Skip drug type field,0,0,0
comments.json_10,We just want to skip duplicate -entries . Let it pass .,0,0,0
comments.json_11,Skip drug type field,0,0,0
comments.json_12,Overwrite duplicate entries,0,0,0
comments.json_13,Used for  Add  Personnel page (add Personnel .jsp ). This just adds an empty  HCP / UAP   creates a random password for them. Copied from AddHCPAction,0,0,0
comments.json_14,Sets up the defaults for the class,0,0,0
comments.json_15,Adds the new user .  Event is logged .,0,0,0
comments.json_16,Add Exercise Entry Action .java Version 1 4/2/2015 Copyright notice: none Responsible for adding a new exercise entry to a patient's Exercise Diary.,0,0,0
comments.json_17,Uses the factory to instantiate the  Exercise Entry DAO            which DAOFactory to use            who is currently logged in,0,0,0
comments.json_18,Adds a new exercise entry to the exercise diary of the specified patient . Currently it checks to ensure that the patient whose exercise dairy we are adding to is the logged in patient  and that the patient exists. Since only patients can add to only their own exercise diaries  we do not need the MID of the patient whose exercise diary we are adding to  we just use the MID of the logged in user.            the ExerciseEntryBean to add to the exercise Diary         a string saying there was an error,1,0,1
comments.json_19,Add Food Entry Action .java  Version 1 2/21/2015 Copyright notice : none Responsible for adding a new food entry to a patient's Food Diary.,0,0,0
comments.json_20,Uses the factory to instantiate the foodentrydao            which DAOFactory to use            who is currently logged in,0,0,0
comments.json_21,Adds a new food entry to the food diary of the specified patient . Currently it checks to ensure that the patient whose food dairy we are adding to is the logged in patient  and that the patient exists  but I don't know if we need to have those checks. Since only patients can add to only their own food diaries  we do not need the MID of the patient whose food diary we are adding to  we just use the MID of the logged in user.            the FoodEntryBean to add to the Food Diary         a string saying there was an error,1,0,1
comments.json_22,Used for  Add  Personnel page (add Personnel .jsp ). This just adds an empty  HCP / UAP   creates a random password for them.,0,0,0
comments.json_23,Sets up the defaults for the class,0,0,0
comments.json_24,Adds the new user .  Event is logged .,0,0,0
comments.json_25,Used for  Add  Personnel page (add Personnel .jsp ). This just adds an empty  LT   creates a random password for them.,0,0,0
comments.json_26,Sets up the defaults for the class,0,0,0
comments.json_27,Adds the new user .  Event is logged .,0,0,0
comments.json_28,Used for add obstetrics record page (add Obstetrics Record .jsp ).,0,0,0
comments.json_29,Just the factory and logged in  MID,0,0,0
comments.json_30,Add a new obstetrics record,0,0,0
comments.json_31,if not an office visit,0,0,0
comments.json_32,else   it is an office visit,0,0,0
comments.json_33,add the obstetrics record to the database,0,0,0
comments.json_34,set the manual flags first to load from later and pull if twins is set,0,0,0
comments.json_35,Office  Visit flags,0,0,0
comments.json_36,Weight flag processing,0,0,0
comments.json_37,can only do  BMI calculations if a normal office visit (with height /weight ) exists before  LMP,0,0,0
comments.json_38,calculate the original  BMI,0,0,0
comments.json_39,find the expected weight offsets in  BMI /weight tables,0,0,0
comments.json_40,This is the correct upper bound,0,0,0
comments.json_41,If not in expected twins range,0,0,0
comments.json_42,If not in expected range,0,0,0
comments.json_43,Set weight flag if needed,0,0,0
comments.json_44,Set  FHR flag if needed,0,0,0
comments.json_45,Set  BP flag if needed,0,0,0
comments.json_46,UC 67: Allergies  Flag,0,0,0
comments.json_47,Advanced maternal age flag,0,0,0
comments.json_48,Rh - flag,0,0,0
comments.json_49,Genetic miscarriage flag,0,0,0
comments.json_50,Pre -existing conditions flag,0,0,0
comments.json_51,Used for  Document  Office  Visit page (document Office Visit .jsp ). This just adds an empty office visit   and provides a list of office visits in case you want to edit an old office visit.,0,0,0
comments.json_52,Sets up the defaults for the class,0,0,0
comments.json_53,Adds an empty office visit            For logging purposes,0,0,0
comments.json_54,Lists all office visits for a particular patient   regardless of who originally documented the office visit.,0,0,0
comments.json_55,Returns the full name of the patient with this  MID,0,0,0
comments.json_56,Used for add ophthalmology office visit page (add Ophalmology OV Record .jsp ).,0,0,0
comments.json_57,ophthalmology OVDAO is the  DAO that retrieves the ophthalmology office  visit records from the database,0,0,0
comments.json_58,logged In MID is the  HCP that is logged in .,0,0,0
comments.json_59,logging Action is used to write to the log .,0,0,0
comments.json_60,Add Ophthalmology OV Action is the constructor for this action class . It simply initializes the instance variables.,0,0,0
comments.json_61,Adds a new ophthalmology office visit record .,0,0,0
comments.json_62,Validate the bean,0,1,1
comments.json_63,Add the ophthalmology office visit record to the database,0,0,0
comments.json_64,Log the transaction,0,0,0
comments.json_65,Used for add ophthalmology office visit requests .,0,0,0
comments.json_66,ophthalmology OVDAO is the  DAO that adds the ophthalmology scheduled office  visit records to the database,0,0,0
comments.json_67,Patient DAO for working with patient objects in the database,0,0,0
comments.json_68,Add Ophthalmology Schedule OV Action is the constructor for this action class . It simply initializes the instance variables.,0,0,0
comments.json_69,Adds a new ophthalmology scheduled office visit record .,0,0,0
comments.json_70,Add the ophthalmology office visit record to the database,0,0,0
comments.json_71,Returns a list of  Personnel Beans of all ophthalmology personnel   ie doctors with the specialty of ophthalmologist or optometrist,0,0,0
comments.json_72,If a  DB Exception occurs print a stack trace and return an empty list,0,0,0
comments.json_73,Used for add ophthalmology office visit page (add Ophalmology Surgery Record .jsp ).,0,0,0
comments.json_74,ophthalmology Surgery DAO is the  DAO that retrieves the surgical ophthalmology  office visit records from the database,0,0,0
comments.json_75,logged In MID is the  HCP that is logged in .,0,0,0
comments.json_76,logging Action is used to write to the log .,0,0,0
comments.json_77,Add Ophthalmology Surgery Action is the constructor for this action class . It simply initializes the instance variables.,0,0,0
comments.json_78,Adds a new ophthalmology office visit record .,0,0,0
comments.json_79,Validate the bean,0,1,1
comments.json_80,Add the ophthalmology office visit record to the database,0,0,0
comments.json_81,Log the transaction,0,0,0
comments.json_82,Used for  Add  Patient page (add Patient .jsp ). This just adds an empty patient   creates a random password for that patient.,0,0,0
comments.json_83,Just the factory and logged in  MID,0,0,0
comments.json_84,Creates a new patient   returns the new  MID . Adds a new user to the table with a specified dependency,0,0,0
comments.json_85,Used for  Upload  Patient  File page (upload Patient File .jsp ).,0,0,0
comments.json_86,Holds the accumulated list of errors from the  CSV Parser and this class,0,0,0
